Nodo;ZAT
183;1
183;2
183;3
183;4
183;5
183;6
183;7
183;8
183;10
183;34
183;794
183;806
183;906
183;907
183;908
183;909
183;935
183;956
183;957
183;958
183;959
183;960
183;960
170;9
170;11
170;22
170;23
170;24
170;25
170;26
170;27
170;28
170;47
170;49
170;52
153;48
153;50
153;51
153;53
153;62
153;63
153;64
153;65
153;66
134;67
134;68
134;69
134;70
134;71
134;76
134;90
134;93
127;87
127;88
127;89
127;91
127;92
127;140
116;141
116;145
116;853
116;146
116;851
116;852
100;142
100;143
100;144
100;166
100;167
100;171
100;849
100;850
80;163
80;164
80;165
80;168
80;169
80;223
80;224
80;234
80;241
80;247
