UTAM;ZAT;Y;X
1;959;4.796238;-74.036631
2;4;4.785506;-74.048799
3;960;4.81758;-74.045132
17;27;4.757808;-74.052036
23;30;4.755217;-74.070127
24;97;4.721481;-74.078605
27;41;4.746875;-74.089207
49;946;4.599716;-74.172746
56;730;4.530324;-74.129511
61;763;4.474798;-74.1144
72;119;4.727345;-74.117121
78;393;4.659749;-74.145289
79;396;4.648414;-74.155644
86;553;4.640579;-74.188473
87;558;4.633524;-74.210457
104;218;4.665259;-74.081368
500;900;4.708583;-74.215826
501;900;4.708583;-74.215826
520;901;4.716484;-74.209954
540;902;4.731808;-74.265905
563;916;4.523793;-74.329961
590;909;4.916306;-74.024084
620;913;4.908618;-73.941807
