Zona_Num_N;y_coord;x_coord
1;4.799928997;-74.07045481
2;4.819367417;-74.06578959
3;4.814778862;-74.03038425
4;4.785505796;-74.04879921
5;4.78914388;-74.03220783
6;4.778670629;-74.03206122
7;4.773773544;-74.04126115
8;4.774961235;-74.05247295
9;4.766526504;-74.05016882
10;4.766974468;-74.04188681
11;4.762679975;-74.03764379
12;4.764738851;-74.02925913
13;4.764977011;-74.02520474
14;4.759601721;-74.0223691
15;4.759466207;-74.02881954
16;4.757439989;-74.02828483
17;4.754261079;-74.02786008
18;4.754802062;-74.02246706
19;4.750839885;-74.02032761
20;4.74947284;-74.02202334
21;4.749896315;-74.02763755
22;4.752629268;-74.03431558
23;4.758390307;-74.03415562
24;4.758500991;-74.03913741
25;4.754146171;-74.04067194
26;4.753197093;-74.04467764
27;4.757807693;-74.05203561
28;4.762673351;-74.05982245
29;4.756611654;-74.06309405
30;4.755216888;-74.07012667
31;4.754366934;-74.07473472
32;4.755547914;-74.07772043
33;4.755770733;-74.08763644
34;4.767322273;-74.08958431
35;4.779392659;-74.10484537
36;4.756305588;-74.11273542
37;4.749950501;-74.11546996
38;4.756463481;-74.10294242
39;4.754997475;-74.09689064
40;4.751012809;-74.09900477
41;4.746875058;-74.08920711
42;4.745277985;-74.07895453
43;4.745529449;-74.07385584
44;4.737296527;-74.07000215
45;4.747915464;-74.067213
46;4.748485496;-74.06222759
47;4.748904573;-74.05404565
48;4.744009162;-74.05849494
49;4.750273775;-74.05012814
50;4.742128769;-74.05253744
51;4.738598904;-74.0432389
52;4.747065313;-74.04207862
53;4.742339561;-74.04237213
54;4.743827509;-74.03438745
55;4.744683706;-74.02701868
56;4.739471983;-74.02734244
57;4.742643443;-74.01915899
58;4.733539786;-74.01677929
59;4.734924828;-74.02803806
60;4.730968186;-74.02795188
61;4.73561583;-74.03526261
62;4.732671891;-74.04254217
63;4.733603041;-74.04703623
64;4.733083589;-74.0526575
65;4.736715363;-74.05210079
66;4.736199471;-74.05872183
67;4.72862003;-74.0568456
68;4.722411259;-74.05483773
69;4.724024952;-74.04858489
70;4.726552827;-74.04351913
71;4.720435603;-74.04418987
